f_sigma,f_max,noise,alpha,beta,total_reward,seed
0.2,0.6,0.1,0.1,0.2,158,2
0.2,0.6,0.1,0.1,0.25,145,2
0.2,0.6,0.1,0.1,0.3,163,2
0.2,0.6,0.1,0.15,0.05,169,2
0.2,0.6,0.1,0.15,0.1,165,2
0.2,0.6,0.1,0.15,0.15,173,2
0.2,0.6,0.1,0.15,0.2,168,2
0.2,0.6,0.1,0.15,0.25,158,2
0.2,0.6,0.1,0.15,0.3,158,2
0.2,0.6,0.1,0.2,0.05,173,2
0.2,0.6,0.1,0.2,0.1,160,2
0.2,0.6,0.1,0.2,0.15,165,2
0.2,0.6,0.1,0.2,0.2,172,2
0.2,0.6,0.1,0.2,0.25,170,2
0.2,0.6,0.1,0.2,0.3,160,2
0.2,0.6,0.1,0.25,0.05,166,2
0.2,0.6,0.1,0.25,0.1,166,2
0.2,0.6,0.1,0.25,0.15,166,2
0.2,0.6,0.1,0.25,0.2,169,2
0.2,0.6,0.1,0.25,0.25,167,2
0.2,0.6,0.1,0.25,0.3,169,2
0.2,0.6,0.1,0.3,0.05,170,2
0.2,0.6,0.1,0.3,0.1,170,2
0.2,0.6,0.1,0.3,0.15,163,2
0.2,0.6,0.1,0.3,0.2,166,2
0.2,0.6,0.1,0.3,0.25,168,2
0.2,0.6,0.1,0.3,0.3,169,2
0.2,0.6,0.15,0.05,0.05,156,2
0.2,0.6,0.15,0.05,0.1,152,2
0.2,0.6,0.15,0.05,0.15,163,2
0.2,0.6,0.15,0.05,0.2,143,2
0.2,0.6,0.15,0.05,0.25,161,2
0.2,0.6,0.15,0.05,0.3,148,2
0.2,0.6,0.15,0.1,0.05,139,2
0.2,0.6,0.15,0.1,0.1,157,2
0.2,0.6,0.15,0.1,0.15,144,2
0.2,0.6,0.15,0.1,0.2,145,2
0.2,0.6,0.15,0.1,0.25,166,2
0.2,0.6,0.15,0.1,0.3,161,2
0.2,0.6,0.15,0.15,0.05,166,2
0.2,0.6,0.15,0.15,0.1,164,2
0.2,0.6,0.15,0.15,0.15,171,2
0.2,0.6,0.15,0.15,0.2,170,2
0.2,0.6,0.15,0.15,0.25,166,2
0.2,0.6,0.15,0.15,0.3,158,2
0.2,0.6,0.15,0.2,0.05,156,2
0.2,0.6,0.15,0.2,0.1,171,2
0.2,0.6,0.15,0.2,0.15,166,2
0.2,0.6,0.15,0.2,0.2,167,2
0.2,0.6,0.15,0.2,0.25,168,2
0.2,0.6,0.15,0.2,0.3,166,2
0.2,0.6,0.15,0.25,0.05,170,2
0.2,0.6,0.15,0.25,0.1,162,2
0.2,0.6,0.15,0.25,0.15,168,2
0.2,0.6,0.15,0.25,0.2,164,2
0.2,0.6,0.15,0.25,0.25,169,2
0.2,0.6,0.15,0.25,0.3,171,2
0.2,0.6,0.15,0.3,0.05,168,2
0.2,0.6,0.15,0.3,0.1,168,2
0.2,0.6,0.15,0.3,0.15,165,2
0.2,0.6,0.15,0.3,0.2,161,2
0.2,0.6,0.15,0.3,0.25,169,2
0.2,0.6,0.15,0.3,0.3,170,2
0.2,0.6,0.2,0.05,0.05,156,2
0.2,0.6,0.2,0.05,0.1,162,2
0.2,0.6,0.2,0.05,0.15,160,2
0.2,0.6,0.2,0.05,0.2,157,2
0.2,0.6,0.2,0.05,0.25,157,2
0.2,0.6,0.2,0.05,0.3,157,2
0.2,0.6,0.2,0.1,0.05,139,2
0.2,0.6,0.2,0.1,0.1,150,2
0.2,0.6,0.2,0.1,0.15,156,2
0.2,0.6,0.2,0.1,0.2,146,2
0.2,0.6,0.2,0.1,0.25,163,2
0.2,0.6,0.2,0.1,0.3,147,2
0.2,0.6,0.2,0.15,0.05,172,2
0.2,0.6,0.2,0.15,0.1,165,2
0.2,0.6,0.2,0.15,0.15,163,2
0.2,0.6,0.2,0.15,0.2,171,2
0.2,0.6,0.2,0.15,0.25,168,2
0.2,0.6,0.2,0.15,0.3,169,2
0.2,0.6,0.2,0.2,0.05,165,2
0.2,0.6,0.2,0.2,0.1,168,2
0.2,0.6,0.2,0.2,0.15,163,2
0.2,0.6,0.2,0.2,0.2,141,2
0.2,0.6,0.2,0.2,0.25,165,2
0.2,0.6,0.2,0.2,0.3,168,2
0.2,0.6,0.2,0.25,0.05,171,2
0.2,0.6,0.2,0.25,0.1,172,2
0.2,0.6,0.2,0.25,0.15,169,2
0.2,0.6,0.2,0.25,0.2,162,2
0.2,0.6,0.2,0.25,0.25,163,2
0.2,0.6,0.2,0.25,0.3,159,2
0.2,0.6,0.2,0.3,0.05,170,2
0.2,0.6,0.2,0.3,0.1,172,2
0.2,0.6,0.2,0.3,0.15,168,2
0.2,0.6,0.2,0.3,0.2,163,2
0.2,0.6,0.2,0.3,0.25,150,2
0.2,0.6,0.2,0.3,0.3,162,2
0.2,0.6,0.25,0.05,0.05,162,2
0.2,0.6,0.25,0.05,0.1,149,2
0.2,0.6,0.25,0.05,0.15,151,2
0.2,0.6,0.25,0.05,0.2,150,2
0.2,0.6,0.25,0.05,0.25,162,2
0.2,0.6,0.25,0.05,0.3,157,2
0.2,0.6,0.25,0.1,0.05,147,2
0.2,0.6,0.25,0.1,0.1,152,2
0.2,0.6,0.25,0.1,0.15,163,2
0.2,0.6,0.25,0.1,0.2,147,2
0.2,0.6,0.25,0.1,0.25,151,2
0.2,0.6,0.25,0.1,0.3,164,2
0.2,0.6,0.25,0.15,0.05,170,2
0.2,0.6,0.25,0.15,0.1,167,2
0.2,0.6,0.25,0.15,0.15,159,2
0.2,0.6,0.25,0.15,0.2,168,2
0.2,0.6,0.25,0.15,0.25,171,2
0.2,0.6,0.25,0.15,0.3,171,2
0.2,0.6,0.25,0.2,0.05,162,2
0.2,0.6,0.25,0.2,0.1,166,2
0.2,0.6,0.25,0.2,0.15,169,2
0.2,0.6,0.25,0.2,0.2,134,2
0.2,0.6,0.25,0.2,0.25,160,2
0.2,0.6,0.25,0.2,0.3,165,2
0.2,0.6,0.25,0.25,0.05,168,2
0.2,0.6,0.25,0.25,0.1,164,2
0.2,0.6,0.25,0.25,0.15,166,2
0.2,0.6,0.25,0.25,0.2,154,2
0.2,0.6,0.25,0.25,0.25,163,2
0.2,0.6,0.25,0.25,0.3,166,2
0.2,0.6,0.25,0.3,0.05,166,2
