f_sigma,f_max,noise,alpha,beta,total_reward,seed
0.1,0.6,0.25,0.15,0.15,23,1
0.1,0.6,0.25,0.15,0.2,23,1
0.1,0.6,0.25,0.15,0.25,23,1
0.1,0.6,0.25,0.15,0.3,26,1
0.1,0.6,0.25,0.2,0.05,10,1
0.1,0.6,0.25,0.2,0.1,10,1
0.1,0.6,0.25,0.2,0.15,10,1
0.1,0.6,0.25,0.2,0.2,19,1
0.1,0.6,0.25,0.2,0.25,21,1
0.1,0.6,0.25,0.2,0.3,25,1
0.1,0.6,0.25,0.25,0.05,10,1
0.1,0.6,0.25,0.25,0.1,10,1
0.1,0.6,0.25,0.25,0.15,10,1
0.1,0.6,0.25,0.25,0.2,10,1
0.1,0.6,0.25,0.25,0.25,15,1
0.1,0.6,0.25,0.25,0.3,12,1
0.1,0.6,0.25,0.3,0.05,9,1
0.1,0.6,0.25,0.3,0.1,10,1
0.1,0.6,0.25,0.3,0.15,10,1
0.1,0.6,0.25,0.3,0.2,10,1
0.1,0.6,0.25,0.3,0.25,13,1
0.1,0.6,0.25,0.3,0.3,14,1
0.1,0.6,0.3,0.05,0.05,11,1
0.1,0.6,0.3,0.05,0.1,23,1
0.1,0.6,0.3,0.05,0.15,36,1
0.1,0.6,0.3,0.05,0.2,39,1
0.1,0.6,0.3,0.05,0.25,45,1
0.1,0.6,0.3,0.05,0.3,51,1
0.1,0.6,0.3,0.1,0.05,11,1
0.1,0.6,0.3,0.1,0.1,15,1
0.1,0.6,0.3,0.1,0.15,19,1
0.1,0.6,0.3,0.1,0.2,21,1
0.1,0.6,0.3,0.1,0.25,25,1
0.1,0.6,0.3,0.1,0.3,29,1
0.1,0.6,0.3,0.15,0.05,10,1
0.1,0.6,0.3,0.15,0.1,10,1
0.1,0.6,0.3,0.15,0.15,10,1
0.1,0.6,0.3,0.15,0.2,17,1
0.1,0.6,0.3,0.15,0.25,16,1
0.1,0.6,0.3,0.15,0.3,21,1
0.1,0.6,0.3,0.2,0.05,10,1
0.1,0.6,0.3,0.2,0.1,10,1
0.1,0.6,0.3,0.2,0.15,10,1
0.1,0.6,0.3,0.2,0.2,10,1
0.1,0.6,0.3,0.2,0.25,15,1
0.1,0.6,0.3,0.2,0.3,12,1
0.1,0.6,0.3,0.25,0.05,9,1
0.1,0.6,0.3,0.25,0.1,10,1
0.1,0.6,0.3,0.25,0.15,10,1
0.1,0.6,0.3,0.25,0.2,10,1
0.1,0.6,0.3,0.25,0.25,10,1
0.1,0.6,0.3,0.25,0.3,15,1
0.1,0.6,0.3,0.3,0.05,9,1
0.1,0.6,0.3,0.3,0.1,10,1
0.1,0.6,0.3,0.3,0.15,10,1
0.1,0.6,0.3,0.3,0.2,10,1
0.1,0.6,0.3,0.3,0.25,11,1
0.1,0.6,0.3,0.3,0.3,13,1
0.2,0.6,0.05,0.05,0.05,152,1
0.2,0.6,0.05,0.05,0.1,156,1
0.2,0.6,0.05,0.05,0.15,169,1
0.2,0.6,0.05,0.05,0.2,167,1
0.2,0.6,0.05,0.05,0.25,165,1
0.2,0.6,0.05,0.05,0.3,168,1
